product_name,overall_rating,no_ratings,no_reviews,rating,title,review
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,perfect product!,"loved it, it's my first macbook that i earned from my hardwork 🥺❤️"
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,fabulous!,"battery lasted longer than my first relationship (2 days).
listening to arijit singh songs on full volume since then still isn't getting over. has more warmth than her. unlike her there's two way communication here as touchpad is very responsive. fingerprint lock is nice as it only opens up to me. 5 stars for this -1 for her"
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,fabulous!,"such a great deal.. very happy with the performance and battery life..origional product..🥰❤️
thank you flipkart..!!!"
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,4,delightful,"awesome build quality and very good display, battery and camera. still new to macos"
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,awesome,"when i ordered and came to know about seller review,i was scared that in what condition i will get macbook. but i was wrong.

this is my first macbook and i am fully satisfied with the product with original packaging of apple and got genuine product.

it's very thin and light and looks very premium.

as a software developer, i installed intellij idea ide and guess what.
it's magic,it is opening just in a click and within 5 seconds.
great performance, no heating issue, sound quality awesome an...
read more"
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,super!,super product
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,super!,go for it..its awesome
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,mind-blowing purchase,"best , best and best 🫶🏻👑🍎"
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,just wow!,its really very good and compact device.
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,brilliant,"superb built quality, amazing performance and display quality...

got it at 72k, wonderful product at great price."
